Name,Power Level,MainMaster,Village
Freya,100,None,Tesla Capital
Skadi,97,Freya,Tesla Capital
Magni,92,Freya,Tesla Capital
Forseti,96,Freya,Tesla Capital
Freyr,73,Magni,Storm City
Angrboda,72,Freyr,Cliff City
Thorin,88,Skadi,Sunflower Fields City
Heimdall,84,Skadi,Desert City
Baldr,71,Angrboda,River City
Eirik,74,Heimdall,Hill City
Frigg,51,Baldr,Island City
Surt,63,Skadi,Capital City
Nanna,60,Baldr,Hill City
Valkyrie,74,Heimdall,Coast City
Bragi,83,Heimdall,Desert City
Fenrir,73,Bragi,Mountain City
Loki,68,Valkyrie,Coast City
Mjolnir,71,Angrboda,Capital City
Odin,62,Fenrir,Mountain City
Hermod,82,Bragi,Sunflower Fields City
Ragnar,58,Hermod,Coast City
Balder,62,Skadi,Hill City
Hel,57,Ragnar,Hill City
Vidar,53,Fenrir,Silverstone City
Eir,58,Fenrir,Coast City
Sol,57,Eirik,River City
Idunn,73,Skadi,Forest City
Hoenir,50,Eirik,Desert City
Aegir,50,Skadi,Capital City
Njord,49,Aegir,Forest City
Ullr,62,Surt,Mountain City
Sigurd,73,Eirik,Storm City
Tyr,59,Odin,Capital City
Gefjon,48,Njord,Valley City
Sif,62,Surt,Sunflower Fields City